time_alvo,ano,jogo,casa_ou_adversario,time_casa,time_visitante,estadio,torneio,placar_casa,placar_visitante,tecnico_casa,tecnico_visitante,nome_do_jogador,numero_do_jogador,posicao_do_jogador,substituto,capitao,passes_totais,passes_precisos,bolas_longas_totais,passes_precisos_longos,duelos_ganhos,afastamentos_totais,sofreu_faltas,defesas,minutos_jogados,toques,avaliacao,posses_de_bola_perdidas,cruzamentos_totais,cruzamentos_precisos,disputas_aereas_perdidas,duelos_perdidos,disputas_totais,disputas_ganhas,interceptacoes_ganhas,faltas,passes_chave,disputas_aereas_ganhas,desafios_perdidos,carrinhos_totais,tentativas_de_gol_bloqueadas,bloqueios_de_jogador_de_linha,perda_de_posse,tentativas_de_gol_no_alvo,gols,chutes_fora_do_alvo,socos_do_goleiro,acoes_do_goleiro_libero,acoes_precisas_do_goleiro_libero,assistencias,grandes_chances_criadas,impedimentos_totais,chutes_defendidos_de_dentro_da_area,grandes_chances_perdidas,penalti_ganho,boas_saidas_altas_do_goleiro,bola_na_trave,penalti_cometido,defesa_de_penalti,defesa_em_penalti_na_disputa_de_penaltis,gol_em_penalti_na_disputa_de_penaltis,erro_em_penalti_na_disputa_de_penaltis,penalti_perdido,erro_que_levou_a_um_chute,carrinho_de_ultimo_homem,afastamento_em_cima_da_linha,gols_contra,erro_que_levou_a_um_gol,gols_esperados,gols_evitatados,assistencias_esperadas
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Weverton,21.0,G,False,,19.0,9.0,15.0,5.0,,3.0,,2.0,90.0,30.0,6.7,11.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Mayke,12.0,D,False,,63.0,57.0,5.0,3.0,1.0,4.0,,,90.0,84.0,7.1,6.0,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Luan Garcia,13.0,D,False,,55.0,39.0,15.0,4.0,4.0,3.0,1.0,,90.0,64.0,6.5,16.0,,,2.0,5.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Gustavo Gómez,15.0,D,False,,40.0,38.0,3.0,2.0,,6.0,,,90.0,50.0,6.7,2.0,,,2.0,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Diogo Barbosa,6.0,D,False,,37.0,30.0,6.0,2.0,4.0,3.0,2.0,,90.0,61.0,6.7,9.0,2.0,,2.0,5.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Thiago Santos,5.0,M,False,,49.0,43.0,2.0,2.0,2.0,1.0,,,90.0,55.0,6.6,6.0,,,,5.0,,,1.0,2.0,,2.0,3.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Felipe Melo,30.0,M,False,True,29.0,24.0,4.0,3.0,3.0,2.0,,,45.0,37.0,6.7,6.0,,,,2.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Gustavo Scarpa,14.0,M,False,,20.0,15.0,1.0,,4.0,1.0,4.0,,45.0,31.0,7.2,8.0,2.0,1.0,1.0,2.0,1.0,,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Lucas Lima,20.0,M,False,,54.0,41.0,6.0,3.0,6.0,,4.0,,90.0,71.0,7.0,18.0,2.0,,,3.0,,,,1.0,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Dudu,7.0,M,False,,25.0,21.0,3.0,2.0,7.0,,3.0,,90.0,54.0,6.8,19.0,10.0,3.0,1.0,10.0,7.0,4.0,,2.0,4.0,,3.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
